OBJECTID,project_id,project_name,project_summary,project_description,project_data_access_and_use_constraints,publish_date,project_owner,principal_investigator,project_contact,project_contact_email,country_code,project_latitude,project_longitude,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day_,month_,year_,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,RASTERVALU
11,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.193422,-74.063192,1607,,,,,,2011-08-17T08:33:00Z,17,8,2011,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,28454843,,,2019-07-08T20:07:09Z,CC_BY_NC_4_0,Christopher Aucoin,Christopher Aucoin,,,2019-09-21T02:13:24.904Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,10
12,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.109421,-74.313637,27692,,,,,,2019-07-04T08:43:46Z,4,7,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,28283321,,,2019-07-06T10:44:47Z,CC_BY_NC_4_0,luckywater,luckywater,,,2019-10-01T07:52:38.588Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1
13,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.735088,-74.194257,3807,,,,,,2019-06-21T18:55:18Z,21,6,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,28248401,,,2019-07-05T19:51:39Z,CC_BY_NC_4_0,jwillow,jwillow,,,2019-10-01T07:52:35.213Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,6
14,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.727378,-74.214263,10,,,,,,2019-06-28T11:55:46Z,28,6,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,27822704,,,2019-06-28T18:24:08Z,CC_BY_NC_4_0,psmac,psmac,,,2019-09-21T02:13:24.615Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,10
15,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New Jersey,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.379812,-74.610486,27816,,,,,,2019-06-24T20:16:53Z,24,6,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,27662267,,,2019-06-25T22:59:39Z,CC_BY_NC_4_0,mbirrer,mbirrer,,,2019-09-21T02:13:25.741Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,45
16,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.773776,-74.14198,5,,,,,,2019-06-10T12:30:18Z,10,6,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,26754993,,,2019-06-10T16:38:31Z,CC_BY_NC_4_0,ctferreri,ctferreri,,,2019-09-21T02:13:25.420Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,25
17,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.77554,-74.986308,75,,,,,,2019-05-27T08:37:34Z,27,5,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,26566058,,,2019-06-07T19:23:34Z,CC_BY_NC_4_0,jeangrimmrobe,jeangrimmrobe,,,2019-09-21T02:13:25.607Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,45
18,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.832438,-74.11235,27723,,,,,,2019-04-25T01:36:42Z,25,4,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,23038425,,,2019-04-25T05:54:01Z,CC_BY_NC_4_0,Mira,Mira,,,2019-09-21T02:13:25.567Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,11
19,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.690059,-74.372122,104,,,,,,2018-06-18T05:34:31Z,18,6,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,21631801,,,2019-03-26T15:33:53Z,CC_BY_NC_4_0,litza,litza,,,2019-09-21T02:13:24.590Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1
20,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.145831,-75.867835,8,,,,,,2017-10-18T00:00:00Z,18,10,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,20059702,,,2019-02-03T18:57:16Z,CC_BY_NC_4_0,sboyce,sboyce,,,2019-09-21T02:13:25.328Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,11
21,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.225013,-74.214645,5,,,,,,2018-06-20T18:40:36Z,20,6,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,19550507,,,2019-01-10T12:00:23Z,CC_BY_NC_4_0,Mason,Mason,,,2019-09-21T02:13:25.398Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,11
22,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.28173,-74.065255,5,,,,,,2018-07-24T20:00:19Z,24,7,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,14702632,,,2018-07-25T00:02:44Z,CC_BY_NC_4_0,jmi,jmi,,,2019-09-21T02:13:24.716Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,40
23,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.156225,-74.800591,5005,,,,,,2018-07-17T12:47:16Z,17,7,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,14452615,,,2018-07-17T19:32:55Z,CC_BY_NC_4_0,Nathan M.,Nathan M.,,,2019-09-21T02:13:24.716Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1
24,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.964978,-75.321718,3,,,,,,2016-08-21T06:23:44Z,21,8,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3931357,,,2016-08-21T13:02:38Z,CC_BY_NC_4_0,Shaun Michael,Shaun Michael,,,2019-09-21T02:13:24.738Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,6
25,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.236793,-74.064412,15,,,,,,2018-07-03T06:32:00Z,3,7,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,14039564,,,2018-07-04T14:37:37Z,CC_BY_NC_4_0,Michael Schrimpf,Michael Schrimpf,,,2019-09-21T02:13:25.659Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,11
26,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.926693,-74.199036,,,,,,,2018-07-03T12:34:01Z,3,7,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,14024993,,,2018-07-03T23:16:26Z,CC_BY_NC_4_0,Elizabeth R.,Elizabeth R.,,,2019-09-21T02:13:24.918Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1
27,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.058048,-75.748778,7676,,,,,,2016-06-01T00:00:00Z,1,6,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,13484549,,,2018-06-16T17:25:22Z,CC_BY_NC_4_0,Alex Lees,Alex Lees,,,2019-09-21T02:13:24.722Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,11
28,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.312393,-73.463885,2275,,,,,,2018-05-31T10:00:18Z,31,5,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,13222407,,,2018-06-08T01:53:09Z,CC_BY_NC_4_0,elizabethjamison,elizabethjamison,,,2019-09-21T02:13:25.204Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1
29,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.661595,-73.652218,198,,,,,,2018-04-15T00:00:00Z,15,4,2018,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,11136653,,,2018-04-18T21:52:45Z,CC_BY_NC_4_0,Hannah Hill,Hannah Hill,,,2019-09-21T02:13:24.848Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,6
30,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.615956,-73.425675,,,,,,,2017-12-19T13:09:00Z,19,12,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,9212946,,,2017-12-19T23:19:00Z,CC_BY_NC_4_0,jimmalefyt,jimmalefyt,,,2019-09-21T02:13:25.523Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,10
31,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.500338,-73.551172,,,,,,,2017-04-22T07:30:00Z,22,4,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,6103285,,,2017-05-05T20:22:30Z,CC_BY_NC_4_0,Budd Veverka,Budd Veverka,,,2019-09-21T02:13:25.604Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1
32,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.161287,-73.680582,194,,,,,,2017-08-11T08:00:00Z,11,8,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,7529971,,,2017-08-17T12:24:57Z,CC_BY_NC_4_0,bsterno,bsterno,,,2019-09-21T02:13:25.568Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,40
33,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.500839,-74.364464,,,,,,,2017-07-13T20:26:00Z,13,7,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,7043637,,,2017-07-14T01:45:31Z,CC_BY_NC_4_0,jimmalefyt,jimmalefyt,,,2019-09-21T02:13:25.406Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,95
34,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.209444,-74.050285,59,,,,,,2011-04-15T01:11:02Z,15,4,2011,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4086242,,,2016-09-11T17:15:27Z,CC_BY_NC_4_0,konaofpomona,konaofpomona,,,2019-09-21T02:13:24.960Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,95
35,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.813786,-74.657235,10,,,,,,2016-08-06T08:42:47Z,6,8,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3811950,,,2016-08-06T13:06:15Z,CC_BY_NC_4_0,xcski23,xcski23,,,2019-09-21T02:13:25.619Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,65
36,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.088078,-74.31598,,,,,,,2014-08-10T19:04:16Z,10,8,2014,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,827442,,,2014-08-11T23:57:20Z,CC_BY_NC_4_0,lisabrundage,lisabrundage,,,2019-09-21T02:13:25.815Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1
37,,,,,,,,,,,,,,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.967183,-74.197745,,,,,,,2014-06-17T00:00:00Z,17,6,2014,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,759071,,,2014-06-29T13:19:16Z,CC_BY_NC_4_0,cdemers,cdemers,,,2019-09-21T02:13:26.393Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1
